Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Darae Kim,Republic of Korea,25,161,55,F,02/03/1987,Hockey,Women's Hockey,,,,
Darcy Marquardt,Canada,33,182,76,F,3/22/1979,Rowing,Women's Eight,YES,,0.111,
Daria Belyakina,Russian Federation,25,172,60,F,9/16/1986,Swimming,Women's 4x200m Freestyle Relay,,,,
Daria Deeva,Russian Federation,21,181,69,F,09/02/1990,Swimming,Women's 100m Breaststroke; Women's 4x100m Medley Relay,,,,
Daria Dmitrieva,Russian Federation,19,174,,F,6/22/1993,Gymnastics - Rhythmic,Individual All-Around,,,,
Daria Iushko,Ukraine,27,174,,F,02/05/1985,Synchronised Swimming,Women's Duets,,,,
Daria Korczynska,Poland,31,168,60,F,7/30/1981,Athletics,Women's 4 x 100m Relay,,,,
Daria Korobova,Russian Federation,23,177,,F,02/07/1989,Synchronised Swimming,Women's Teams,,,,
Daria Pogorzelec,Poland,22,172,78,F,7/20/1990,Judo,Women's -78kg,,,,
Daria Tykhova,Ukraine,26,165,50,F,2/15/1986,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Darian Townsend,South Africa,27,195,87,M,8/28/1984,Swimming,Men's 200m Individual Medley; Men's 4x100m Freestyle Relay; Men's 4x200m Freestyle Relay,,,,
Dariia Talanova,Kyrgyzstan,16,168,52,F,12/08/1995,Swimming,Women's 200m Breaststroke,,,,
Darisleydis Amador,Cuba,24,,,F,01/01/1988,Canoe Sprint,Women's Kayak Single (K1) 200m; Women's Kayak Single (K1) 500m,,,,
Darius Draudvila,Lithuania,29,187,90,M,3/29/1983,Athletics,Men's Decathlon,,,,
Darius Songaila,Lithuania,34,206,113,M,2/14/1978,Basketball,Men's Basketball,,,,
Dariusz Kuc,Poland,26,176,73,M,4/24/1986,Athletics,Men's 100m; Men's 4 x 100m Relay,,,,
Dariya Sharipova,Ukraine,22,175,75,F,06/04/1990,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Darkhan Bayakhmetov,Kazakhstan,26,175,66,M,8/21/1985,Wrestling,Men's 66kg Greco-Roman,,,,
Darko Stanic,Serbia,33,190,87,M,10/08/1978,Handball,Men's Handball,,,,
Darko Zivanovic,Serbia,25,178,64,M,2/25/1987,Athletics,Men's Marathon,,,,
Darlenis Obregon,Colombia,26,168,60,F,2/21/1986,Athletics,Women's 4 x 100m Relay,,,,
Darrel Castillo,Guatemala,19,183,100,M,08/04/1992,Judo,Men's +100kg,,,,
Darren Murray,South Africa,21,183,72,M,04/02/1991,Swimming,Men's 200m Backstroke,,,,
Darren O'neill,Ireland,26,184,,M,9/13/1985,Boxing,Men's Middle (75kg),,,,
Darryl Fitzgerald,New Zealand,21,186,85,M,08/09/1990,Canoe Sprint,Men's Kayak Double (K2) 1000m,,,,
Darvin Chavez,Mexico,22,177,74,M,11/21/1989,Football,Men's Football,,,,
Darvin Edwards,Saint Lucia,25,185,86,M,09/11/1986,Athletics,Men's High Jump,,,,
Darvis Patton,United States of America,34,183,79,M,12/04/1977,Athletics,Men's 4 x 100m Relay,,,,
Darya Pishchalnikova,Russian Federation,27,188,125,F,7/19/1985,Athletics,Women's Discus Throw,YES,,1,
Darya Stepanyuk,Ukraine,22,174,64,F,5/22/1990,Swimming,Women's 50m Freestyle; Women's 4x200m Freestyle Relay,,,,
Daryl Homer,United States of America,22,173,75,M,7/16/1990,Fencing,Men's Individual Sabre; Men's Team Sabre,,,,
Daryl Impey,South Africa,27,183,70,M,12/06/1984,Cycling - Road,Men's Road Race,,,,
Daryna Prystupa,Ukraine,24,163,56,F,11/26/1987,Athletics,Women's 4 x 400m Relay,,,,
Daryna Zevina,Ukraine,17,182,64,F,09/01/1994,Swimming,Women's 100m Backstroke; Women's 200m Backstroke; Women's 4x200m Freestyle Relay,,,,
Dathan Ritzenhein,United States of America,29,173,55,M,12/30/1982,Athletics,Men's 10;000m,,,,
Dato Marsagishvili,Georgia,21,186,84,M,3/30/1991,Wrestling,Men's 84kg Freestyle,,,,
Daulet Niyazbekov,Kazakhstan,23,176,55,M,02/12/1989,Wrestling,Men's 55kg Freestyle,,,,
Daulet Shabanbay,Kazakhstan,18,179,96,M,08/09/1993,Wrestling,Men's 120kg Freestyle,,,,
Daundre Barnaby,Canada,21,189,75,M,12/09/1990,Athletics,Men's 400m,,,,
Dave Davies,Great Britain,27,190,84,M,03/03/1985,Swimming,Men's 1500m Freestyle,,,,
Dave Smith,Australia,25,183,85,M,2/13/1987,Canoe Sprint,Men's Kayak Double (K2) 1000m; Men's Kayak Four (K4) 1000m,YES,0.25,,
David Alegre,Spain,27,184,75,M,09/06/1984,Hockey,Men's Hockey,,,,
David Andersen,Australia,32,212,102,M,6/23/1980,Basketball,Men's Basketball,,,,
David Ayrapetyan,Russian Federation,28,158,,M,9/26/1983,Boxing,Men's Light Fly (49kg),YES,,,1
David Banks,United States of America,28,188,88,M,8/30/1983,Rowing,Men's Eight,,,,
David Barlow,Australia,28,205,97,M,10/22/1983,Basketball,Men's Basketball,,,,
David Belyavskiy,Russian Federation,20,165,,M,2/23/1992,Gymnastics - Artistic,Men's Individual All-Around; Men's Team; Men's Qualification,,,,
David Boudia,United States of America,23,175,73,M,4/24/1989,Diving,Men's 10m Platform; Men's Synchronised 10m Platform,YES,,,0.5
David Boui,Central African Republic,24,185,,M,6/28/1988,Taekwondo,Men's -68kg,,,,
David Brandl,Austria,25,187,82,M,4/19/1987,Swimming,Men's 200m Freestyle; Men's 4x200m Freestyle Relay,,,,
David Burrows,Ireland,35,193,106,M,05/11/1977,Sailing,Men's Star,,,,
David Bustos,Spain,21,181,65,M,8/25/1990,Athletics,Men's 1500m,,,,
David Cal Figueroa,Spain,29,183,87,M,10/10/1982,Canoe Sprint,Men's Canoe Single (C1) 1000m,YES,,1,
David Calder,Canada,34,195,90,M,5/21/1978,Rowing,Men's Pair,,,,
David Carry,Great Britain,30,184,75,M,10/08/1981,Swimming,Men's 400m Freestyle; Men's 4x200m Freestyle Relay,,,,
David Crawshay,Australia,32,191,93,M,08/11/1979,Rowing,Men's Double Sculls,,,,
David de Gea,Spain,21,191,76,M,11/07/1990,Football,Men's Football,,,,
David Dunford,Kenya,23,193,83,M,9/29/1988,Swimming,Men's 50m Freestyle; Men's 100m Freestyle,,,,
David Ferrer,Spain,30,175,73,M,04/02/1982,Tennis,Men's Singles; Men's Doubles,,,,
David Florence,Great Britain,29,188,77,M,08/08/1982,Canoe Slalom,Men's Canoe Single (C1); Men's Canoe Double (C2),YES,,0.5,
David Goffin,Belgium,21,180,69,M,12/07/1990,Tennis,Men's Singles,,,,
David Greene,Great Britain,26,185,78,M,04/11/1986,Athletics,Men's 400m Hurdles,,,,
David Hauss,France,28,182,68,M,02/01/1984,Triathlon,Men's Triathlon,,,,
David Herman,United States of America,24,170,70,M,05/09/1988,Cycling - BMX,Men's BMX,,,,
David Ilariani,Georgia,31,195,87,M,1/20/1981,Athletics,Men's 110m Hurdles,,,,
David J Chapman,Australia,47,165,70,M,3/22/1965,Shooting,Men's 25m Rapid Fire Pistol,,,,
David Joao Serralheiro Rosa,Portugal,25,168,52,M,11/12/1986,Cycling - Mountain Bike,Men's Cross-country,,,,
David Karasek,Switzerland,24,190,85,M,10/06/1987,Swimming,Men's 200m Individual Medley,,,,
David Katoatau,Kiribati,28,166,94,M,7/17/1984,Weightlifting,Men's 94kg,,,,
David Kavelasvili,Greece,27,180,94,M,08/02/1985,Weightlifting,Men's 94kg,,,,
David Kostelecky,Czech Republic,37,190,100,M,05/12/1975,Shooting,Men's Trap,,,,
David Larose,France,27,167,66,M,07/04/1985,Judo,Men's -66kg,,,,
David Lee,United States of America,30,203,102,M,03/08/1982,Volleyball,Men's Volleyball,,,,
David Lekuta Rudisha,Kenya,23,,,M,12/17/1988,Athletics,Men's 800m,YES,1,,
David Marcus,Canada,31,175,61,M,8/28/1980,Equestrian,Individual Dressage; Team Dressage; CAPITAL,,,,
David Martin Lozano,Spain,35,177,78,M,01/02/1977,Water Polo,Men's Water Polo,,,,
David Mckeon,Australia,20,195,85,M,7/25/1992,Swimming,Men's 400m Freestyle; Men's 4x200m Freestyle Relay,,,,
David Mckienzie,United States of America,33,193,101,M,07/05/1979,Volleyball,Men's Volleyball,,,,
David McNeill,Australia,25,173,52,M,10/06/1986,Athletics,Men's 5000m,,,,
David Mier Y Teran,Mexico,33,171,65,M,08/07/1978,Sailing,Men's RS-X,,,,
David Millar,Great Britain,35,191,78,M,01/04/1977,Cycling - Road,Men's Road Race,,,,
David MmcCann,Ireland,39,180,73,M,3/17/1973,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
David Muntaner Juaneda,Spain,29,187,78,M,07/12/1983,Cycling - Track,Men's Team Pursuit,,,,
David Nalbandian,Argentina,30,180,79,M,01/01/1982,Tennis,Men's Doubles; Men's Singles,,,,
David Sain,Croatia,24,186,93,M,02/08/1988,Rowing,Men's Quadruple Sculls,YES,,0.25,
David Schroeder,Germany,27,180,70,M,4/28/1985,Canoe Slalom,Men's Canoe Double (C2),,,,
David Sharpe,Canada,21,178,73,M,10/29/1990,Swimming,Men's 200m Butterfly,,,,
David Storl,Germany,22,199,122,M,7/27/1990,Athletics,Men's Shot Put,YES,,1,
David Svoboda,Czech Republic,27,184,75,M,3/19/1985,Modern Pentathlon,Men's Modern Pentathlon,,,,
David Toth,Hungary,27,181,81,M,2/21/1985,Canoe Sprint,Men's Kayak Four (K4) 1000m,YES,,0.25,
David Tremblay,Canada,24,162,55,M,9/18/1987,Wrestling,Men's 55kg Freestyle,,,,
David Vala,Czech Republic,34,191,96,M,4/17/1978,Wrestling,Men's 96kg Greco-Roman,,,,
David Verraszto,Hungary,23,180,73,M,8/22/1988,Swimming,Men's 200m Individual Medley; Men's 400m Individual Medley,,,,
David Wright,Canada,30,185,80,M,11/03/1981,Sailing,Men's Laser,,,,
Davide Manenti,Italy,23,,,M,4/16/1989,Athletics,Men's 4 x 100m Relay,,,,
Davin Sorn,Cambodia,20,178,,F,02/06/1992,Taekwondo,Women's +67kg,,,,
Davis Tarwater,United States of America,28,185,84,M,3/24/1984,Swimming,Men's 4x200m Freestyle Relay,,,,
Davit Khutsishvili,Georgia,21,172,74,M,10/19/1990,Wrestling,Men's 74kg Freestyle,,,,
Davit Modzmanashvili,Georgia,25,185,110,M,11/09/1986,Wrestling,Men's 120kg Freestyle,,,,
Dawid Tomala,Poland,22,182,66,M,8/27/1989,Athletics,Men's 20km Race Walk,,,,
Dawit Wolde,Ethiopia,21,174,63,M,5/19/1991,Athletics,Men's 1500m,,,,
Dawn Harper,United States of America,28,168,61,F,5/13/1984,Athletics,Women's 100m Hurdles,YES,,1,
Dawoud Sulaiman Al Quiwaitaei,United Arab Emirates,22,181,80,M,3/21/1990,Football,Men's Football,,,,
Dayaris Mestre Alvarez,Cuba,25,,47,F,11/20/1986,Judo,Women's -48kg,,,,
Dayexi Gandarela,Cuba,26,,,F,07/04/1986,Canoe Sprint,Women's Kayak Double (K2) 500m,,,,
Daynara Paula,Brazil,23,,,F,7/25/1989,Swimming,Women's 100m Freestyle; Women's 100m Butterfly,,,,
Dayron Marquez,Colombia,29,178,85,M,06/11/1983,Athletics,Men's Javelin Throw,,,,
Dean Couzins,New Zealand,31,182,78,M,06/09/1981,Hockey,Men's Hockey,,,,
Debbie Capozzi,United States of America,31,163,67,F,07/09/1981,Sailing,Women's Elliott 6m,,,,
Debbie Ferguson-McKenzie,Bahamas,36,165,63,F,1/16/1976,Athletics,Women's 100m; Women's 200m; Women's 4 x 100m Relay,,,,
Debbie Flood,Great Britain,32,177,75,F,2/27/1980,Rowing,Women's Quadruple Sculls,,,,
Debora Cristiane De Oliveira,Brazil,20,157,52,F,10/20/1991,Football,Women's Football,,,,
Debora Oakley Gonzalez,Mexico,31,186,72,F,08/11/1980,Rowing,Women's Single Sculls,,,,
Deborah Rodriguez,Uruguay,19,174,63,F,12/02/1992,Athletics,Women's 400m Hurdles,,,,
Debra Daniel,Federated States of Micronesia,21,158,68,F,03/04/1991,Swimming,Women's 50m Freestyle,,,,
Dede Camara,Guinea,21,159,61,F,7/22/1991,Swimming,Women's 100m Breaststroke,,,,
DeeDee Trotter,United States of America,29,178,64,F,08/12/1982,Athletics,Women's 400m; Women's 4x400m relay,YES,,,1
Deepika Kumari,India,18,,,F,6/13/1994,Archery,Women's Individual; Women's Team,,,,
Deirdre Ryan,Ireland,30,183,63,F,06/01/1982,Athletics,Women's High Jump,,,,
Dejan Terzic,Serbia,25,190,94,M,4/21/1987,Canoe Sprint,Men's Kayak Four (K4) 1000m,,,,
Dejen Gebremeskel,Ethiopia,22,178,57,M,11/24/1989,Athletics,Men's 5000m,,,,
Delfina Merino,Argentina,22,169,59,F,10/15/1989,Hockey,Women's Hockey,,,,
Deli Liu,People's Republic of China,32,202,120,M,01/01/1980,Wrestling,Men's 120kg Greco-Roman,,,,
Delphine Atangana,Cameroon,27,170,55,F,8/16/1984,Athletics,Women's 100m,,,,
Delphine Ledoux,France,27,169,,F,5/15/1985,Gymnastics - Rhythmic,Individual All-Around,,,,
Delphine Reau,France,38,171,72,F,9/19/1973,Shooting,Women's Trap,YES,,,1
Delwayne Delaney,Saint Kitts and Nevis,29,168,73,M,08/04/1982,Athletics,Men's 4 x 100m Relay,,,,
Demetrius Pinder,Bahamas,23,,,M,2/13/1989,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Denes Varga,Hungary,25,193,95,M,3/29/1987,Water Polo,Men's Water Polo,,,,
Deni Deni,Indonesia,23,163,68,M,7/26/1989,Weightlifting,Men's 69kg,,,,
Deni Fiorentini,Italy,28,191,86,M,06/05/1984,Water Polo,Men's Water Polo,,,,
Denia Caballero,Cuba,22,,,F,1/13/1990,Athletics,Women's Discus Throw,,,,
Denis Ablyazin,Russian Federation,20,161,,M,08/03/1992,Gymnastics - Artistic,Men's Team; Men's Qualification,YES,,1,1
Denis Alekseyev,Russian Federation,24,186,75,M,12/21/1987,Athletics,Men's 4 x 400m Relay,,,,
Denis Buntic,Croatia,29,199,110,M,10/13/1982,Handball,Men's Handball,,,,
Denis Dmitriev,Russian Federation,26,176,92,M,3/23/1986,Cycling - Track,Men's Sprint; Men's Team Sprint,,,,
Denis Gankin,Kazakhstan,22,183,68,M,12/13/1989,Archery,Men's Individual,,,,
Denis Istomin,Uzbekistan,25,188,88,M,09/07/1986,Tennis,Men's Singles,,,,
Denis Koulakov,Russian Federation,29,174,70,M,11/21/1982,Shooting,Men's 10m Air Pistol,,,,
Denis Menchov,Russian Federation,34,180,65,M,1/25/1978,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
Denis Mesples,France,49,174,69,M,5/21/1963,Equestrian,Individual Eventing; Team Eventing; OREGON DE LA VIGNE,,,,
Denis Polyakov,Belarus,21,184,74,M,4/17/1991,Football,Men's Football,,,,
Denis Sefik,Montenegro,35,198,115,M,9/20/1976,Water Polo,Men's Water Polo,,,,
Denis Spicka,Czech Republic,23,181,93,M,8/29/1988,Cycling - Track,Men's Keirin,,,,
Denis Tsargush,Russian Federation,24,177,74,M,09/01/1987,Wrestling,Men's 74kg Freestyle,,,,
Denisa Rosolova,Czech Republic,25,175,68,F,8/21/1986,Athletics,Women's 400m Hurdles; Women's 4 x 400m Relay,,,,
Denisa Smolenova,Slovakia,23,182,62,F,2/14/1989,Swimming,Women's 100m Butterfly; Women's 200m Butterfly,,,,
Deniss Cerkovskis,Latvia,33,180,76,M,11/02/1978,Modern Pentathlon,Men's Modern Pentathlon,,,,
Deniss Karpak,Estonia,26,200,100,M,7/18/1986,Sailing,Men's Finn,,,,
Denisse van Lamoen,Chile,32,157,51,F,09/12/1979,Archery,Women's Individual,,,,
Deniz Cinar,Turkey,27,173,65,M,12/08/1984,Sailing,Men's 470,,,,
Dennis Bowsher,United States of America,29,175,73,M,04/07/1983,Modern Pentathlon,Men's Modern Pentathlon,,,,
Dennis Ceylan,Denmark,23,175,,M,03/03/1989,Boxing,Men's Bantam (56kg),,,,
Denys Berinchyk,Ukraine,24,170,,M,05/05/1988,Boxing,Men's Light Welter (64kg),,,,
Denys Kaliberda,Germany,22,193,95,M,6/24/1990,Volleyball,Men's Volleyball,,,,
Denys Kushnirov,Ukraine,19,175,71,M,12/12/1992,Shooting,Men's 10m Air Pistol,,,,
Denys Yurchenko,Ukraine,34,175,75,M,1/27/1978,Athletics,Men's Pole Vault,,,,
Deokhyeon Kim,Republic of Korea,26,180,68,M,12/08/1985,Athletics,Men's Triple Jump,,,,
Deon Lendore,Trinidad and Tobago,19,179,75,M,10/28/1992,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Deonise Cavaleiro,Brazil,29,180,73,F,6/20/1983,Handball,Women's Handball,,,,
Derek Burnett,Ireland,41,178,88,M,10/27/1970,Shooting,Men's Trap,,,,
Derek Drouin,Canada,22,194,80,M,03/06/1990,Athletics,Men's High Jump,YES,,,1
Derek Horton,Guam,39,183,70,M,9/26/1972,Cycling - Mountain Bike,Men's Cross-country,,,,
Derek Mandell,Guam,25,173,61,M,9/18/1986,Athletics,Men's 800m,,,,
Derek Miles,United States of America,39,191,88,M,9/28/1972,Athletics,Men's Pole Vault,,,,
Derek O'farrell,Canada,29,191,85,M,06/05/1983,Rowing,Men's Four,,,,
Derek Wong,Singapore,23,172,66,M,1/13/1989,Badminton,Men's Singles,,,,
Deron Williams,United States of America,28,191,95,M,6/26/1984,Basketball,Men's Basketball,,,,
Derrick Atkins,Bahamas,28,185,88,M,01/05/1984,Athletics,Men's 100m,,,,
Derrick Obasohan,Nigeria,31,198,,M,4/18/1981,Basketball,Men's Basketball,,,,
Derval O'Rourke,Ireland,31,167,58,F,5/28/1981,Athletics,Women's 100m Hurdles,,,,
Derya Buyukuncu,Turkey,36,,,M,07/02/1976,Swimming,Men's 200m Backstroke,,,,
Desiree Davila,United States of America,29,155,44,F,7/26/1983,Athletics,Women's Marathon,,,,
Desiree Rose Marie Scott,Canada,25,160,62,F,7/31/1987,Football,Women's Football,YES,,,0.09
Despina Zapounidou,Greece,26,167,53,F,10/05/1985,Athletics,Women's 20km Race Walk,,,,
Despoina Solomou,Greece,21,170,,F,8/18/1990,Synchronised Swimming,Women's Duets,,,,
Destinee Hooker,United States of America,24,191,75,F,09/07/1987,Volleyball,Women's Volleyball,,,,
Detelin Dalakliev,Bulgaria,29,170,,M,2/19/1983,Boxing,Men's Bantam (56kg),,,,
Devendro Singh Laishram,India,20,,,M,03/02/1992,Boxing,Men's Light Fly (49kg),,,,
Devid Safaryan,Armenia,23,170,66,M,08/01/1989,Wrestling,Men's 66kg Freestyle,,,,
Devilert Arsene Kimbembe,Congo,27,171,,M,9/14/1984,Athletics,Men's 100m,,,,
Dex Elmont,Netherlands,28,175,73,M,01/10/1984,Judo,Men's -73kg,,,,
Dhaher Alaryani,United Arab Emirates,39,,,M,12/11/1972,Shooting,Men's Trap,,,,
Dharamvir Singh,India,21,,,M,08/05/1990,Hockey,Men's Hockey,,,,
Diah Permatasari,Indonesia,22,159,54,F,05/05/1990,Fencing,Women's Individual Sabre,,,,
Diamond Dixon,United States of America,20,168,51,F,6/29/1992,Athletics,Women's 4 x 400m Relay,,,,
Diana Antonova,Russian Federation,19,168,50,F,1/17/1993,Water Polo,Women's Water Polo,,,,
Diana Beverly Matheson,Canada,28,153,53,F,04/06/1984,Football,Women's Football,YES,,,0.09
Diana Detre,Hungary,28,169,57,F,11/22/1983,Sailing,Women's RS-X,,,,
Diana Laura Bulimar,Romania,16,140,,F,8/22/1995,Gymnastics - Artistic,Women's Team; Women's Qualification,YES,,,0.2
Diana Lobacevske,Lithuania,31,175,61,F,08/07/1980,Athletics,Women's Marathon,,,,
Diana Lopez,United States of America,28,178,,F,01/07/1984,Taekwondo,Women's -57kg,,,,
Diana Maria Chelaru,Romania,18,150,,F,8/15/1993,Gymnastics - Artistic,Women's Team; Women's Qualification,YES,,,0.2
Diana Maria Garcia Orrego,Colombia,30,161,60,F,3/17/1982,Cycling - Track,Women's Keirin; Women's Team Sprint,,,,
Diana Martin,Spain,31,163,50,F,04/01/1981,Athletics,Women's 3000m Steeplechase,,,,
Diana Neves,Portugal,26,158,63,F,6/26/1986,Sailing,Women's Elliott 6m,,,,
Diana Sokolowska,Poland,16,175,66,F,2/19/1996,Swimming,Women's 4x200m Freestyle Relay,,,,
Diane Borg,Malta,21,162,60,F,09/12/1990,Athletics,Women's 100m,,,,
Diane Nukuri,Burundi,27,186,59,F,12/01/1984,Athletics,Women's Marathon,,,,
Dianelys Perez,Cuba,24,,,F,6/28/1988,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Diaz Kusumawardani,Indonesia,16,154,49,F,11/02/1995,Shooting,Women's 10m Air Rifle,,,,
Didier Dinart,France,35,197,104,M,1/18/1977,Handball,Men's Handball,,,,
Didier Ovono,Gabon,29,185,79,M,1/23/1983,Football,Men's Football,,,,
Didier Pais,France,29,168,60,M,02/08/1983,Wrestling,Men's 60kg Freestyle,,,,
Diederik Simon,Netherlands,42,190,90,M,04/10/1970,Rowing,Men's Eight,,,,
Diego Benaglio,Switzerland,28,195,89,M,09/08/1983,Football,Men's Football,,,,
Diego Castillo,Panama,21,175,73,M,07/05/1991,Swimming,Men's 200m Butterfly,,,,
Diego Esteban Simonet,Argentina,22,190,88,M,12/26/1989,Handball,Men's Handball,,,,
Diego Estrada,Mexico,22,180,61,M,12/19/1989,Athletics,Men's 10;000m,,,,
Diego Ferrin,Ecuador,24,190,72,M,3/21/1988,Athletics,Men's High Jump,,,,
Diego Garcia de Leon,Mexico,22,172,,M,02/02/1990,Taekwondo,Men's -58kg,,,,
Diego Gonzalez Parro,Chile,24,180,72,M,9/24/1987,Sailing,Men's 470,,,,
Diego Hypolito,Brazil,26,170,,M,6/19/1986,Gymnastics - Artistic,Men's Qualification,,,,
Diego Marani,Italy,22,,,M,4/27/1990,Athletics,Men's 4 x 100m Relay,,,,
Diego Marino,Spain,22,187,80,M,05/09/1990,Football,Men's Football,,,,
Diego Occhiuzzi,Italy,31,180,80,M,4/30/1981,Fencing,Men's Individual Sabre; Men's Team Sabre,YES,,1,0.33
Diego Palomeque,Colombia,18,176,68,M,12/05/1993,Athletics,Men's 400m,,,,
Diego Polenta,Uruguay,20,183,81,M,02/06/1992,Football,Men's Football,,,,
Diego Rodriguez,Uruguay,22,177,74,M,09/04/1989,Football,Men's Football,,,,
Diego Ruiz,Spain,30,178,64,M,02/05/1982,Athletics,Men's 1500m,,,,
Dieter Dekoninck,Belgium,21,189,85,M,1/28/1991,Swimming,Men's 4x100m Freestyle Relay; Men's 4x200m Freestyle Relay,,,,
Dieudonne Dolassem,Cameroon,32,181,88,M,09/04/1979,Judo,Men's -90kg,,,,
Diguan Pigot,Suriname,18,175,75,M,6/24/1994,Swimming,Men's 100m Breaststroke,,,,
Dijana Jovetic,Croatia,28,170,60,F,5/21/1984,Handball,Women's Handball,,,,
Diju V,India,31,,,M,01/04/1981,Badminton,Mixed Doubles,,,,
Dika Toua,Papua New Guinea,28,150,52,F,6/23/1984,Weightlifting,Women's 53kg,,,,
Dilara Buse Gunaydin,Turkey,23,168,58,F,07/05/1989,Swimming,Women's 100m Breaststroke; Women's 200m Breaststroke,,,,
Diletta Carli,Italy,16,170,62,F,05/07/1996,Swimming,Women's 4x200m Freestyle Relay,,,,
Dilshod Choriev,Uzbekistan,27,178,90,M,07/03/1985,Judo,Men's -90kg,,,,
Dilshod Mansurov,Uzbekistan,28,150,55,M,12/12/1983,Wrestling,Men's 55kg Freestyle,,,,
Dilshod Nazarov,Tajikistan,30,187,120,M,05/06/1982,Athletics,Men's Hammer Throw,,,,
Dimitri Bascou,France,25,182,72,M,7/20/1987,Athletics,Men's 110m Hurdles,,,,
Dimitri Colupaev,Germany,22,189,89,M,1/29/1990,Swimming,Men's 4x200m Freestyle Relay,,,,
Dimitri Goanta,Romania,25,202,113,M,7/17/1987,Water Polo,Men's Water Polo,,,,
Dimitri Peters,Germany,28,188,100,M,05/04/1984,Judo,Men's -100kg,YES,,,1
Dimitrij Ovtcharov,Germany,23,185,78,M,09/02/1988,Table Tennis,Men's Singles; Men's Team,YES,,,1
Dimitrios Chondrokoukis,Greece,24,195,65,M,1/26/1988,Athletics,Men's High Jump,,,,
Dimitrios Diamadaras,Greece,28,178,70,M,7/18/1984,Athletics,Men's Long Jump,,,,
Dina Aspandiyarova,Australia,36,158,65,F,07/10/1976,Shooting,Women's 10m Air Pistol,,,,
Dina Meshref,Egypt,18,166,57,F,03/10/1994,Table Tennis,Women's Singles; Women's Team,,,,
Ding Chen,People's Republic of China,19,180,62,M,08/05/1992,Athletics,Men's 20km Race Walk,YES,1,,
Dinko Jukic,Austria,23,194,91,M,01/09/1989,Swimming,Men's 100m Butterfly; Men's 200m Butterfly,,,,
Dinko Mulic,Croatia,28,190,87,M,09/08/1983,Canoe Slalom,Men's Kayak (K1),,,,
Dino Sefir,Ethiopia,24,178,61,M,5/28/1988,Athletics,Men's Marathon,,,,
Diogo Carvalho,Portugal,24,181,73,M,3/26/1988,Swimming,Men's 200m Individual Medley; Men's 400m Individual Medley,,,,
Diogo Ganchinho,Portugal,24,167,,M,09/12/1987,Trampoline,Men's Trampoline,,,,
Diogo Sclebin,Brazil,30,190,80,M,05/06/1982,Triathlon,Men's Triathlon,,,,
Diogo Silva,Brazil,30,178,,M,03/07/1982,Taekwondo,Men's -68kg,,,,
Dion Dreesens,Netherlands,19,194,83,M,4/30/1993,Swimming,Men's 200m Freestyle,,,,
Dionysios Dimou,Greece,27,180,76,M,3/26/1985,Sailing,Men's 49er,,,,
Diosmely Pena,Cuba,27,,,F,06/12/1985,Athletics,Women's 4 x 400m Relay,,,,
Dipna Lim Prasad,Singapore,21,174,54,F,06/07/1991,Athletics,Women's 100m Hurdles,,,,
Dirk Demeersman,Belgium,48,170,72,M,7/15/1964,Equestrian,Individual Jumping; Team Jumping; BUFERO VAN HET PANISHOF,,,,
Dirk Schrade,Germany,34,183,68,M,6/29/1978,Equestrian,Individual Eventing; Team Eventing; KING ARTUS,YES,0.2,,
Dirk van Tichelt,Belgium,28,173,73,M,06/10/1984,Judo,Men's -73kg,,,,
Dirkie Chamberlain,South Africa,25,169,68,F,11/03/1986,Hockey,Women's Hockey,,,,
Dmitri Gerasimenko,Serbia,24,184,90,M,10/01/1987,Judo,Men's -90kg,,,,
Dmitri Lapkes,Belarus,36,182,78,M,06/04/1976,Fencing,Men's Individual Sabre; Men's Team Sabre,,,,
Dmitrii Aleksandrov,Kyrgyzstan,19,185,75,M,09/12/1992,Swimming,Men's 200m Breaststroke,,,,
Dmitrii Polishchuk,Russian Federation,25,183,84,M,02/08/1987,Sailing,Men's RS-X,,,,
Dmitrijs Jurkevics,Latvia,25,186,69,M,01/07/1987,Athletics,Men's 1500m,,,,
Dmitrijs Trefilovs,Latvia,25,169,,M,5/13/1987,Gymnastics - Artistic,Men's Qualification,,,,
Dmitriy Alexanin,Kazakhstan,20,184,82,M,12/18/1991,Fencing,Men's Individual Epee,,,,
Dmitriy Ilinykh,Russian Federation,25,202,94,M,1/31/1987,Volleyball,Men's Volleyball,,,,
Dmitriy Karpov,Kazakhstan,31,198,98,M,7/23/1981,Athletics,Men's Decathlon,,,,
Dmitriy Karuchenko,Ukraine,32,180,78,M,1/15/1980,Fencing,Men's Individual Epee,,,,
Dmitriy Kim,Uzbekistan,22,178,,M,10/07/1989,Taekwondo,Men's -68kg,,,,
Dmitriy Klokov,Russian Federation,29,183,105,M,2/18/1983,Weightlifting,Men's 105kg,,,,
